Denomination_ID,DENOM_001,DENOM_031,DENOM_032,DENOM_068,DENOM_064,DENOM_047,DENOM_052,DENOM_124,DENOM_102,DENOM_087,DENOM_114,DENOM_109,DENOM_121,DENOM_131,DENOM_144,DENOM_148,DENOM_153,DENOM_167,DENOM_176,DENOM_195,DENOM_180,DENOM_184,DENOM_190,DENOM_187,DENOM_120,DENOM_229,DENOM_157,DENOM_221,DENOM_013,DENOM_230
DENOM_001,99.261,71.181,69.715,64.735,68.931,65.662,67.004,72.228,66.152,71.364,67.157,66.664,71.64,67.874,66.219,59.375,61.434,66.042,69.737,58.253,63.134,59.373,47.156,56.817,43.976,52.373,59.785,46.986,65.985,70.415
DENOM_031,71.181,98.878,85.357,83.553,87.468,83.947,85.055,92.596,64.815,66.917,59.775,64.603,70.394,52.47,55.709,50.244,57.813,51.811,61.78,50.475,54.084,43.727,40.286,42.178,36.162,44.237,52.649,35.967,56.122,53.489
DENOM_032,69.715,85.357,99.778,86.132,87.978,85.73,95.62,90.677,55.346,57.026,53.233,59.031,66.582,48.469,49.508,39.844,61.081,47.396,54.78,40.712,46.274,48.517,38.972,42.945,38.445,45.683,49.856,38.022,49.932,48.399
DENOM_068,64.735,83.553,86.132,99.137,95.639,85.708,84.978,86.208,51.203,54.275,46.048,53.576,60.782,46.735,42.972,36.128,57.558,41.863,52.135,38.002,43.079,44.906,37.495,44.421,35.046,43.439,46.079,34.663,50.655,41.952
DENOM_064,68.931,87.468,87.978,95.639,99.715,85.102,87.327,87.917,55.538,56.876,50.737,57.417,63.946,47.172,47.481,39.282,55.682,44.961,54.907,41.04,46.114,47.404,41.469,43.925,35.859,43.085,47.377,35.002,51.445,45.704
DENOM_047,65.662,83.947,85.73,85.708,85.102,98.655,82.587,87.914,53.215,57.86,51.954,62.432,68.061,58.426,48.809,38.997,73.196,49.565,55.45,39.107,44.282,49.689,36.966,46.791,52.225,62.687,56.601,52.862,52.296,49.297
DENOM_052,67.004,85.055,95.62,84.978,87.327,82.587,100,89.574,58.57,58.54,54.535,56.696,64.289,48.578,51.006,43.762,56.205,47.84,53.643,43.899,48.133,44.328,38.822,45.635,35.758,43.023,46.576,33.371,49.251,48.677
DENOM_124,72.228,92.596,90.677,86.208,87.917,87.914,89.574,99.399,62.466,65.194,59.645,68.163,72.975,54.837,54.346,47.175,63.241,53.321,59.917,47.876,53.444,51.163,44.89,48.117,41.598,50.412,56.202,42.255,55.058,53.707
DENOM_102,66.152,64.815,55.346,51.203,55.538,53.215,58.57,62.466,99.801,74.076,89.344,79.126,77,62.201,70.605,68.412,67.959,66.493,57.46,58.601,69.031,43.885,42.112,51.585,35.506,41.214,63.119,33.338,56.481,68.652
DENOM_087,71.364,66.917,57.026,54.275,56.876,57.86,58.54,65.194,74.076,100,77.355,79.603,74.408,75.822,75.929,80.728,65.641,72.074,62.579,62.957,74.273,46.878,55.873,56.733,40.691,48.174,70.386,43.597,63.864,75.791
DENOM_114,67.157,59.775,53.233,46.048,50.737,51.954,54.535,59.645,89.344,77.355,99.882,82.71,80.163,66.007,76.274,73.357,69.131,68.536,55.31,58.513,70.87,48.501,46.28,53.244,39.087,46.88,64.579,38.385,56.036,72.774
DENOM_109,66.664,64.603,59.031,53.576,57.417,62.432,56.696,68.163,79.126,79.603,82.71,100,80.877,73.25,70.344,69.299,79.998,72.815,59.89,54.982,70.592,53.744,50.969,59.423,50.262,59.73,76.24,49.651,59.311,71.992
DENOM_121,71.64,70.394,66.582,60.782,63.946,68.061,64.289,72.975,77,74.408,80.163,80.877,99.579,66.662,71.847,61.149,81.358,66.263,61.339,55.254,61.021,53.773,43.231,54.923,47.048,58.76,70.534,46.555,57.289,66.884
DENOM_131,67.874,52.47,48.469,46.735,47.172,58.426,48.578,54.837,62.201,75.822,66.007,73.25,66.662,97.333,85.669,79.894,73.129,82.528,62.766,54.309,71.379,56.427,58.153,78.473,56.519,67.086,80.132,62.798,62.134,85.956
DENOM_144,66.219,55.709,49.508,42.972,47.481,48.809,51.006,54.346,70.605,75.929,76.274,70.344,71.847,85.669,99.812,88.717,66.447,88.117,63.606,59.756,75.885,54.577,52.327,72.57,47.364,56.157,78.137,49.634,61.209,94.594
DENOM_148,59.375,50.244,39.844,36.128,39.282,38.997,43.762,47.175,68.412,80.728,73.357,69.299,61.149,79.894,88.717,99.985,56.588,82.96,58.216,63.76,74.592,43.181,55.727,65.972,40.02,45.505,68.925,41.299,62.431,88.251
DENOM_153,61.434,57.813,61.081,57.558,55.682,73.196,56.205,63.241,67.959,65.641,69.131,79.998,81.358,73.129,66.447,56.588,98.994,68.656,53.887,43.232,55.498,52.853,41.3,60.955,61.927,74.097,77.333,60.955,56.563,69.441
DENOM_167,66.042,51.811,47.396,41.863,44.961,49.565,47.84,53.321,66.493,72.074,68.536,72.815,66.263,82.528,88.117,82.96,68.656,99.969,67.292,54.884,72.153,52.637,49.55,73.127,50.661,55.782,83.226,49.952,62.27,92.669
DENOM_176,69.737,61.78,54.78,52.135,54.907,55.45,53.643,59.917,57.46,62.579,55.31,59.89,61.339,62.766,63.606,58.216,53.887,67.292,100,69.959,63.813,67.78,58.14,56.486,45.71,50.795,56.068,47.6,68.805,65.444
DENOM_195,58.253,50.475,40.712,38.002,41.04,39.107,43.899,47.876,58.601,62.957,58.513,54.982,55.254,54.309,59.756,63.76,43.232,54.884,69.959,100,72.054,60.73,74.835,51.263,35.045,40.871,45.062,35.651,64.281,59.248
DENOM_180,63.134,54.084,46.274,43.079,46.114,44.282,48.133,53.444,69.031,74.273,70.87,70.592,61.021,71.379,75.885,74.592,55.498,72.153,63.813,72.054,100,59.789,56.716,57.223,40.179,46.629,64.87,42.901,62.696,77.502
DENOM_184,59.373,43.727,48.517,44.906,47.404,49.689,44.328,51.163,43.885,46.878,48.501,53.744,53.773,56.427,54.577,43.181,52.853,52.637,67.78,60.73,59.789,99.71,62.799,52.14,44.823,54.703,50.017,51.531,57.797,57.051
DENOM_190,47.156,40.286,38.972,37.495,41.469,36.966,38.822,44.89,42.112,55.873,46.28,50.969,43.231,58.153,52.327,55.727,41.3,49.55,58.14,74.835,56.716,62.799,100,65.212,36.083,42.261,44.282,40.326,61.598,55.599
DENOM_187,56.817,42.178,42.945,44.421,43.925,46.791,45.635,48.117,51.585,56.733,53.244,59.423,54.923,78.473,72.57,65.972,60.955,73.127,56.486,51.263,57.223,52.14,65.212,100,46.851,54.741,66.329,47.961,53.699,76.325
DENOM_120,43.976,36.162,38.445,35.046,35.859,52.225,35.758,41.598,35.506,40.691,39.087,50.262,47.048,56.519,47.364,40.02,61.927,50.661,45.71,35.045,40.179,44.823,36.083,46.851,99.599,84.844,55.087,74.609,44.436,49.062
DENOM_229,52.373,44.237,45.683,43.439,43.085,62.687,43.023,50.412,41.214,48.174,46.88,59.73,58.76,67.086,56.157,45.505,74.097,55.782,50.795,40.871,46.629,54.703,42.261,54.741,84.844,98.882,61.822,80.754,52.883,56.158
DENOM_157,59.785,52.649,49.856,46.079,47.377,56.601,46.576,56.202,63.119,70.386,64.579,76.24,70.534,80.132,78.137,68.925,77.333,83.226,56.068,45.062,64.87,50.017,44.282,66.329,55.087,61.822,99.282,58.461,58.35,83.179
DENOM_221,46.986,35.967,38.022,34.663,35.002,52.862,33.371,42.255,33.338,43.597,38.385,49.651,46.555,62.798,49.634,41.299,60.955,49.952,47.6,35.651,42.901,51.531,40.326,47.961,74.609,80.754,58.461,98.398,47.234,51.031
DENOM_013,65.985,56.122,49.932,50.655,51.445,52.296,49.251,55.058,56.481,63.864,56.036,59.311,57.289,62.134,61.209,62.431,56.563,62.27,68.805,64.281,62.696,57.797,61.598,53.699,44.436,52.883,58.35,47.234,100,62.5
DENOM_230,70.415,53.489,48.399,41.952,45.704,49.297,48.677,53.707,68.652,75.791,72.774,71.992,66.884,85.956,94.594,88.251,69.441,92.669,65.444,59.248,77.502,57.051,55.599,76.325,49.062,56.158,83.179,51.031,62.5,99.26
