Denomination_ID,DENOM_001,DENOM_031,DENOM_032,DENOM_068,DENOM_064,DENOM_047,DENOM_052,DENOM_124,DENOM_102,DENOM_087,DENOM_114,DENOM_109,DENOM_121,DENOM_131,DENOM_144,DENOM_148,DENOM_153,DENOM_167,DENOM_176,DENOM_195,DENOM_180,DENOM_184,DENOM_190,DENOM_187,DENOM_120,DENOM_229,DENOM_157,DENOM_221,DENOM_013,DENOM_230
DENOM_001,99.277,71.738,70.146,64.638,68.708,65.878,67.401,72.292,66.904,71.945,67.918,66.475,72.188,68.019,66.7,59.636,61.643,66.245,69.931,58.644,63.084,59.65,47.549,56.954,44.388,52.686,60.152,47.294,64.488,70.855
DENOM_031,71.738,98.867,85.487,83.74,87.549,84.117,85.167,92.669,65.488,67.513,60.618,65.456,70.933,53.247,56.355,50.926,58.525,52.762,62.389,51.3,55.066,44.931,41.588,43.53,36.658,44.75,53.629,36.399,55.108,54.199
DENOM_032,70.146,85.487,99.763,85.696,87.493,85.931,95.605,90.468,56.188,57.637,54.168,59.319,67.11,49.104,50.246,40.493,61.506,48.027,55.152,41.302,46.824,49.12,39.673,43.599,38.767,46.026,50.468,38.306,49.285,49.159
DENOM_068,64.638,83.74,85.696,99.167,95.792,85.855,84.641,86.495,51.448,54.468,46.484,55.501,61.685,48.022,44.266,37.458,58.71,43.453,53.155,39.365,45.03,46.612,39.559,46.394,35.318,43.366,47.613,34.91,49.031,43.219
DENOM_064,68.708,87.549,87.493,95.792,99.725,85.267,86.936,88.152,55.639,57,51.012,59.2,64.758,48.459,48.663,40.549,56.903,46.472,55.863,42.338,47.976,49.044,43.417,45.932,36.112,43.023,48.886,35.244,49.77,46.883
DENOM_047,65.878,84.117,85.931,85.855,85.267,98.661,82.725,88.104,53.483,58.202,52.27,63.398,68.619,59.167,49.643,39.896,73.686,50.559,56.071,40.021,45.551,50.756,38.372,48.04,52.401,62.674,57.493,53.004,51.482,50.13
DENOM_052,67.401,85.167,95.605,84.641,86.936,82.725,100,89.411,59.176,59.019,55.254,57.005,64.691,49.036,51.511,44.199,56.579,48.328,54.033,44.372,48.568,44.885,39.429,46.139,36.061,43.458,47.108,33.653,48.976,49.203
DENOM_124,72.292,92.669,90.468,86.495,88.152,88.104,89.411,99.415,62.406,65.412,59.671,69.206,73.594,55.82,55.195,48.128,64.069,54.511,60.681,48.895,54.74,52.484,46.386,49.636,42.023,50.682,57.38,42.607,53.731,54.607
DENOM_102,66.904,65.488,56.188,51.448,55.639,53.483,59.176,62.406,99.807,74.57,89.702,78.311,77.377,62.175,71.133,68.25,67.744,66.321,57.583,58.668,68.684,44.371,42.634,51.822,35.752,41.196,63.04,33.604,54.605,69.197
DENOM_087,71.945,67.513,57.637,54.468,57,58.202,59.019,65.412,74.57,100,77.783,79.007,74.849,75.807,76.193,80.639,65.743,72.133,62.883,63.242,73.928,47.434,56.015,56.862,41.11,48.558,70.486,43.922,62.566,76.103
DENOM_114,67.918,60.618,54.168,46.484,51.012,52.27,55.254,59.671,89.702,77.783,99.886,81.701,80.459,65.873,76.672,73.072,68.868,68.295,55.496,58.585,70.445,48.86,46.686,53.432,39.25,46.668,64.45,38.545,54.083,73.237
DENOM_109,66.475,65.456,59.319,55.501,59.2,63.398,57.005,69.206,78.311,79.007,81.701,100,81.21,73.926,71.015,69.957,80.578,73.624,60.885,56.098,71.793,55.464,52.884,61.15,50.077,58.931,76.966,49.513,56.846,72.575
DENOM_121,72.188,70.933,67.11,61.685,64.758,68.619,64.691,73.594,77.377,74.849,80.459,81.21,99.475,67.287,72.281,61.767,81.612,67.017,62.001,56.045,61.904,54.889,44.605,56.037,47.361,58.78,71.213,46.831,55.861,67.462
DENOM_131,68.019,53.247,49.104,48.022,48.459,59.167,49.036,55.82,62.175,75.807,65.873,73.926,67.287,97.383,85.848,80.198,73.65,82.854,63.287,54.998,71.972,57.379,59.068,78.888,56.634,66.966,80.531,62.818,60.798,86.175
DENOM_144,66.7,56.355,50.246,44.266,48.663,49.643,51.511,55.195,71.133,76.193,76.672,71.015,72.281,85.848,99.77,88.82,67.095,88.204,64.03,60.269,76.287,55.522,53.315,73.078,47.538,56.169,78.45,49.756,59.804,94.609
DENOM_148,59.636,50.926,40.493,37.458,40.549,39.896,44.199,48.128,68.25,80.639,73.072,69.957,61.767,80.198,88.82,99.985,57.296,83.223,58.71,64.21,75.017,44.239,56.558,66.618,40.295,45.826,69.463,41.528,61.326,88.399
DENOM_153,61.643,58.525,61.506,58.71,56.903,73.686,56.579,64.069,67.744,65.743,68.868,80.578,81.612,73.65,67.095,57.296,99.018,69.3,54.617,44.175,56.694,54.073,42.852,62.031,61.875,73.61,77.793,60.926,55.142,69.968
DENOM_167,66.245,52.762,48.027,43.453,46.472,50.559,48.328,54.511,66.321,72.133,68.295,73.624,67.017,82.854,88.204,83.223,69.3,99.97,67.862,55.715,72.833,53.844,50.84,73.803,50.88,55.886,83.651,50.153,60.737,92.732
DENOM_176,69.931,62.389,55.152,53.155,55.863,56.071,54.033,60.681,57.583,62.883,55.496,60.885,62.001,63.287,64.03,58.71,54.617,67.862,100,70.398,64.514,68.364,58.955,57.414,46.081,51.191,56.908,47.897,67.53,65.864
DENOM_195,58.644,51.3,41.302,39.365,42.338,40.021,44.372,48.895,58.668,63.242,58.585,56.098,56.045,54.998,60.269,64.21,44.175,55.715,70.398,100,72.568,61.485,75.264,52.32,35.488,41.393,46.131,36.034,63.109,59.793
DENOM_180,63.084,55.066,46.824,45.03,47.976,45.551,48.568,54.74,68.684,73.928,70.445,71.793,61.904,71.972,76.287,75.017,56.694,72.833,64.514,72.568,100,60.997,58.128,58.721,40.309,46.45,65.806,42.951,60.566,77.834
DENOM_184,59.65,44.931,49.12,46.612,49.044,50.756,44.885,52.484,44.371,47.434,48.86,55.464,54.889,57.379,55.522,44.239,54.073,53.844,68.364,61.485,60.997,99.719,63.868,53.648,45.085,54.671,51.36,51.626,56.117,57.88
DENOM_190,47.549,41.588,39.673,39.559,43.417,38.372,39.429,46.386,42.634,56.015,46.686,52.884,44.605,59.068,53.315,56.558,42.852,50.84,58.955,75.264,58.128,63.868,100,66.385,36.31,42.23,45.786,40.432,59.603,56.461
